Title,URL,Source/Domain,Pub Date,Category,Relevance,Authority,Recency,Completeness,Readability,Total,Score Reason
Generative UI and Outcome-Oriented Design - NN/G,https://www.nngroup.com/articles/generative-ui/,www.nngroup.com,,General References,0.55,0.78,0.55,0.65,0.7,0.6375,"Relevance 0.55: matched query terms ['generative', 'ai'] and 0 category keywords for General References | Authority 0.78: domain www.nngroup.com carries prior for nngroup.com | Recency 0.55: missing date, neutral score | Completeness 0.65: 40 words in snippet with 0 category keyword hits | Readability 0.70: snippet length 40 words"
A Research Agenda for Generative AI in UX - NN/G,https://www.nngroup.com/articles/genai-ux-research-agenda/,www.nngroup.com,,Prototyping & UX,0.8,0.78,0.55,0.8,0.7,0.7475,"Relevance 0.80: matched query terms ['generative', 'ai', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.78: domain www.nngroup.com carries prior for nngroup.com | Recency 0.55: missing date, neutral score | Completeness 0.80: 84 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 84 words"
Influential Nielsen Norman Group Tees Off on Google AI UX,https://www.searchengineworld.com/influential-nielsen-norman-group-tees-off-on-google-ai-google-ai-mode,www.searchengineworld.com,,Prototyping & UX,1.0,0.55,0.55,0.8,0.7,0.76,"Relevance 1.00: matched query terms ['nielsen', 'norman', 'group', 'ai', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.55: neutral domain www.searchengineworld.com | Recency 0.55: missing date, neutral score | Completeness 0.80: 71 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 71 words"
How to create a promptframe for generative AI content | Nielsen ...,https://www.linkedin.com/posts/nielsen-norman-group_promptframes-wireframes-genai-activity-7201661845689040912-Alcd,www.linkedin.com,,General References,1.0,0.55,0.55,0.65,0.7,0.7375,"Relevance 1.00: matched query terms ['nielsen', 'norman', 'group', 'generative', 'ai', 'guidelines'] and 0 category keywords for General References | Authority 0.55: neutral domain www.linkedin.com | Recency 0.55: missing date, neutral score | Completeness 0.65: 39 words in snippet with 0 category keyword hits | Readability 0.70: snippet length 39 words"
The Nielsen Norman Group Theory: Why Testing with... | Aguayo Blog,https://aguayo.co/en/blog-aguayo-user-experience/nielsen-norman-theory-usability-testing-5-users/,aguayo.co,,Prototyping & UX,0.95,0.45,0.55,0.7,0.7,0.7025,"Relevance 0.95: matched query terms ['nielsen', 'norman', 'group', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.45: neutral domain aguayo.co | Recency 0.55: missing date, neutral score | Completeness 0.70: 42 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 42 words"
Agent Experience: Nielsen’s Usability Heuristics Analysis for ...,https://generativeaiandhci.github.io/papers/2025/genaichi2025_5.pdf,generativeaiandhci.github.io,,Prototyping & UX,1.0,0.55,0.55,0.7,0.7,0.745,"Relevance 1.00: matched query terms ['nielsen', 'generative', 'ai', 'ux', 'guidelines'] and 1 category keywords for Prototyping & UX | Authority 0.55: neutral domain generativeaiandhci.github.io | Recency 0.55: missing date, neutral score | Completeness 0.70: 54 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 54 words"
Getting Started with AI for UX - Jakob Nielsen on UX,https://jakobnielsenphd.substack.com/p/get-started-ai-for-ux,jakobnielsenphd.substack.com,,Prototyping & UX,1.0,0.55,0.55,0.7,0.7,0.745,"Relevance 1.00: matched query terms ['nielsen', 'norman', 'group', 'ai', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.55: neutral domain jakobnielsenphd.substack.com | Recency 0.55: missing date, neutral score | Completeness 0.70: 53 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 53 words"
- Nielsen Norman Group articles Archives – Internet,https://internet-salmagundi.com/category/broad-topics/web-resources/nielsen-norman-group-articles/,internet-salmagundi.com,,Prototyping & UX,0.95,0.45,0.55,0.6,0.7,0.6875,"Relevance 0.95: matched query terms ['nielsen', 'norman', 'group', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.45: neutral domain internet-salmagundi.com | Recency 0.55: missing date, neutral score | Completeness 0.60: 27 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 27 words"
Nielsen Norman Group: 20 Years - NN/g,https://www.nngroup.com/articles/nielsen-norman-group-20-years/,www.nngroup.com,,General References,0.7,0.78,0.55,0.55,0.7,0.675,"Relevance 0.70: matched query terms ['nielsen', 'norman', 'group'] and 0 category keywords for General References | Authority 0.78: domain www.nngroup.com carries prior for nngroup.com | Recency 0.55: missing date, neutral score | Completeness 0.55: 26 words in snippet with 0 category keyword hits | Readability 0.70: snippet length 26 words"
Articles and Videos by Josh Brown | Nielsen Norman Group - NN/G,https://www.nngroup.com/articles/author/josh-brown/,www.nngroup.com,,General References,0.7,0.78,0.55,0.55,0.7,0.675,"Relevance 0.70: matched query terms ['nielsen', 'norman', 'group'] and 0 category keywords for General References | Authority 0.78: domain www.nngroup.com carries prior for nngroup.com | Recency 0.55: missing date, neutral score | Completeness 0.55: 22 words in snippet with 0 category keyword hits | Readability 0.70: snippet length 22 words"
Nielsen Norman Group Archives - Growth Marketing Agency London,https://www.growthhakka.co.uk/tag/nielsen-norman-group/,www.growthhakka.co.uk,,General References,0.85,0.55,0.55,0.55,0.7,0.67,"Relevance 0.85: matched query terms ['nielsen', 'norman', 'group', 'ai'] and 0 category keywords for General References | Authority 0.55: neutral domain www.growthhakka.co.uk | Recency 0.55: missing date, neutral score | Completeness 0.55: 21 words in snippet with 0 category keyword hits | Readability 0.70: snippet length 21 words"
"Nielsen Norman Group: UX Training, Consulting, & Research - NN/G",https://www.nngroup.com/,www.nngroup.com,,Prototyping & UX,1.0,0.78,0.55,0.7,0.7,0.8025,"Relevance 1.00: matched query terms ['nielsen', 'norman', 'group', 'ai', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.78: domain www.nngroup.com carries prior for nngroup.com | Recency 0.55: missing date, neutral score | Completeness 0.70: 30 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 30 words"
Nielsen Norman Group (@NNgroup) / X,https://x.com/nngroup,x.com,,Prototyping & UX,0.95,0.45,0.55,0.7,0.7,0.7025,"Relevance 0.95: matched query terms ['nielsen', 'norman', 'group', 'ux'] and 1 category keywords for Prototyping & UX | Authority 0.45: neutral domain x.com | Recency 0.55: missing date, neutral score | Completeness 0.70: 34 words in snippet with 1 category keyword hits | Readability 0.70: snippet length 34 words"
