Title,URL,Source/Domain,Pub Date,Category,Relevance,Authority,Recency,Completeness,Readability,Total,Score Reason
正确性研究条目 499：Facts & Traceability 应用案例,https://example.com/flawless/facts/499,example.com,2025-05-14T00:00:00Z,Facts & Traceability,0.97,0.864,0.968,0.948,0.903,0.9306,"Relevance 0.97, Authority 0.86, Recency 0.97, Completeness 0.95, Readability 0.90"
正确性研究条目 089：Medium 应用案例,https://example.com/flawless/medium/089,example.com,2024-03-30T00:00:00Z,Medium,0.887,0.945,0.838,0.935,0.912,0.9034,"Relevance 0.89, Authority 0.94, Recency 0.84, Completeness 0.94, Readability 0.91"
正确性研究条目 403：Language 应用案例,https://example.com/flawless/language/403,example.com,2025-02-07T00:00:00Z,Language,0.839,0.939,0.977,0.851,0.875,0.8962,"Relevance 0.84, Authority 0.94, Recency 0.98, Completeness 0.85, Readability 0.88"
正确性研究条目 310：Facts & Traceability 应用案例,https://example.com/flawless/facts/310,example.com,2024-11-06T00:00:00Z,Facts & Traceability,0.95,0.891,0.885,0.928,0.823,0.8954,"Relevance 0.95, Authority 0.89, Recency 0.89, Completeness 0.93, Readability 0.82"
正确性研究条目 225：Mindset & Correctness 应用案例,https://example.com/flawless/mindset/225,example.com,2024-08-13T00:00:00Z,Mindset & Correctness,0.937,0.94,0.927,0.834,0.825,0.8926,"Relevance 0.94, Authority 0.94, Recency 0.93, Completeness 0.83, Readability 0.82"
正确性研究条目 191：Facts & Traceability 应用案例,https://example.com/flawless/facts/191,example.com,2024-07-10T00:00:00Z,Facts & Traceability,0.903,0.942,0.987,0.891,0.728,0.8902,"Relevance 0.90, Authority 0.94, Recency 0.99, Completeness 0.89, Readability 0.73"
正确性研究条目 357：Cross-Cutting 应用案例,https://example.com/flawless/cross/357,example.com,2024-12-23T00:00:00Z,Cross-Cutting,0.974,0.877,0.982,0.891,0.702,0.8852,"Relevance 0.97, Authority 0.88, Recency 0.98, Completeness 0.89, Readability 0.70"
正确性研究条目 402：Argumentation 应用案例,https://example.com/flawless/argument/402,example.com,2025-02-06T00:00:00Z,Argumentation,0.966,0.902,0.965,0.838,0.75,0.8842,"Relevance 0.97, Authority 0.90, Recency 0.96, Completeness 0.84, Readability 0.75"
正确性研究条目 020：Feedback 应用案例,https://example.com/flawless/feedback/020,example.com,2024-01-21T00:00:00Z,Feedback,0.807,0.948,0.812,0.941,0.901,0.8818,"Relevance 0.81, Authority 0.95, Recency 0.81, Completeness 0.94, Readability 0.90"
正确性研究条目 344：Mindset & Correctness 应用案例,https://example.com/flawless/mindset/344,example.com,2024-12-10T00:00:00Z,Mindset & Correctness,0.889,0.942,0.833,0.889,0.854,0.8814,"Relevance 0.89, Authority 0.94, Recency 0.83, Completeness 0.89, Readability 0.85"
