id,title,source,url,type,tags,notes
1,Rag Pipeline Design — OpenAI Blog insight 001,OpenAI Blog,https://openai.com/blog/rag-pipeline-design-001,article,"ai-product,rag-pipeline-design",自动生成线索，待人工核验与筛选。
2,Retrieval Evaluation — OpenAI Docs insight 002,OpenAI Docs,https://platform.openai.com/docs/retrieval-evaluation-002,docs,"ai-product,retrieval-evaluation",自动生成线索，待人工核验与筛选。
3,Chunking Strategies — Anthropic Newsroom insight 003,Anthropic Newsroom,https://www.anthropic.com/news/chunking-strategies-003,article,"ai-product,chunking-strategies",自动生成线索，待人工核验与筛选。
4,Vector Database Tuning — Google Research Blog insight 004,Google Research Blog,https://research.google/blog/vector-database-tuning-004,article,"ai-product,vector-database-tuning",自动生成线索，待人工核验与筛选。
5,Prompt Engineering — DeepMind Blog insight 005,DeepMind Blog,https://deepmind.google/discover/blog/prompt-engineering-005,article,"ai-product,prompt-engineering",自动生成线索，待人工核验与筛选。
6,Structured Output — Meta AI Blog insight 006,Meta AI Blog,https://ai.meta.com/blog/structured-output-006,article,"ai-product,structured-output",自动生成线索，待人工核验与筛选。
7,Tool Use Agents — Microsoft Research insight 007,Microsoft Research,https://www.microsoft.com/en-us/research/publication/tool-use-agents-007,paper,"ai-product,tool-use-agents",自动生成线索，待人工核验与筛选。
8,Multi-Agent Orchestration — Azure AI Blog insight 008,Azure AI Blog,https://azure.microsoft.com/en-us/blog/topics/ai-machine-learning/multi-agent-orchestration-008,article,"ai-product,multi-agent-orchestration",自动生成线索，待人工核验与筛选。
9,Guardrails And Safety — AWS ML Blog insight 009,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/guardrails-and-safety-009,article,"ai-product,guardrails-and-safety",自动生成线索，待人工核验与筛选。
10,Prompt Injection Defense — Hugging Face Blog insight 010,Hugging Face Blog,https://huggingface.co/blog/prompt-injection-defense-010,article,"ai-product,prompt-injection-defense",自动生成线索，待人工核验与筛选。
